"Work Item Type","Title 1","Title 2","Description","Acceptance Criteria","State","Area Path","Iteration Path","Priority","Tags"
"User Story","chore/ab-id-adicionar-lighthouse-ci-no-pipeline","","Objetivo: criar verificacao automatica de performance no CI para evitar regressao
Escopo: workflow, thresholds e artefatos de relatorio
Branch padrao: chore/ab-id-adicionar-lighthouse-ci-no-pipeline
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","1) Workflow executa Lighthouse em PR/push configurado.
2) Thresholds minimos definidos para Performance, A11y e SEO.
3) Pipeline falha quando metricas ficam abaixo do limite.
4) Relatorio fica salvo como artefato.
5) Branch criada a partir de `develop` no padrao `chore/ab-id-adicionar-lighthouse-ci-no-pipeline` (substituir `ab-id` pelo numero real).
6) Commits no padrao `tipo(escopo): descricao AB#<ID>`.
7) PR para `develop` com secoes Markdown:
- `Contexto`
- `O que foi feito`
- `Impacto`
- `Testes realizados`
- `Como validar`
- `Checklist`","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:excalidraw;phase:0-30d;area:ci;priority:alta;workflow:gitflow;workflow:conventional-commits"
"Task","","chore/ab-id-planejar-adicionar-lighthouse-ci-no-pipeline","Objetivo: detalhar escopo tecnico, dependencias e criterio de pronto para implementacao
Contexto: Adicionar Lighthouse CI no pipeline
Branch padrao: chore/ab-id-planejar-adicionar-lighthouse-ci-no-pipeline
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","chore/ab-id-implementar-adicionar-lighthouse-ci-no-pipeline","Objetivo: implementar a solucao tecnica conforme escopo aprovado da story
Contexto: Adicionar Lighthouse CI no pipeline
Branch padrao: chore/ab-id-implementar-adicionar-lighthouse-ci-no-pipeline
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","test/ab-id-validar-e-documentar-adicionar-lighthouse-ci-no-pipeline","Objetivo: validar entrega (teste/manual/CI) e atualizar documentacao necessaria
Contexto: Adicionar Lighthouse CI no pipeline
Branch padrao: test/ab-id-validar-e-documentar-adicionar-lighthouse-ci-no-pipeline
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"User Story","chore/ab-id-ativar-branch-protection-no-github","","Objetivo: impedir merge direto sem validacoes
Escopo: regras de protecao para main/develop
Branch padrao: chore/ab-id-ativar-branch-protection-no-github
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","1) Branches principais protegidas contra push direto.
2) Review obrigatorio configurado.
3) Checks obrigatorios de CI habilitados.
4) Restricoes validadas com teste de permissao.
5) Branch criada a partir de `develop` no padrao `chore/ab-id-ativar-branch-protection-no-github` (substituir `ab-id` pelo numero real).
6) Commits no padrao `tipo(escopo): descricao AB#<ID>`.
7) PR para `develop` com secoes Markdown:
- `Contexto`
- `O que foi feito`
- `Impacto`
- `Testes realizados`
- `Como validar`
- `Checklist`","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:excalidraw;phase:0-30d;area:governance;priority:alta;workflow:gitflow;workflow:conventional-commits"
"Task","","chore/ab-id-planejar-ativar-branch-protection-no-github","Objetivo: detalhar escopo tecnico, dependencias e criterio de pronto para implementacao
Contexto: Ativar branch protection no GitHub
Branch padrao: chore/ab-id-planejar-ativar-branch-protection-no-github
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","chore/ab-id-implementar-ativar-branch-protection-no-github","Objetivo: implementar a solucao tecnica conforme escopo aprovado da story
Contexto: Ativar branch protection no GitHub
Branch padrao: chore/ab-id-implementar-ativar-branch-protection-no-github
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","test/ab-id-validar-e-documentar-ativar-branch-protection-no-github","Objetivo: validar entrega (teste/manual/CI) e atualizar documentacao necessaria
Contexto: Ativar branch protection no GitHub
Branch padrao: test/ab-id-validar-e-documentar-ativar-branch-protection-no-github
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"User Story","chore/ab-id-configurar-custom-domain-para-ambiente-azure","","Objetivo: habilitar dominio proprio para acesso publico com branding
Escopo: DNS, validacao e HTTPS
Branch padrao: chore/ab-id-configurar-custom-domain-para-ambiente-azure
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","1) Dominio custom associado ao recurso Azure correto.
2) Certificado HTTPS ativo sem alerta no navegador.
3) Redirecionamento de dominio antigo definido (se aplicavel).
4) URL final documentada no projeto.
5) Branch criada a partir de `develop` no padrao `chore/ab-id-configurar-custom-domain-para-ambiente-azure` (substituir `ab-id` pelo numero real).
6) Commits no padrao `tipo(escopo): descricao AB#<ID>`.
7) PR para `develop` com secoes Markdown:
- `Contexto`
- `O que foi feito`
- `Impacto`
- `Testes realizados`
- `Como validar`
- `Checklist`","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:excalidraw;phase:0-30d;area:infra;priority:alta;workflow:gitflow;workflow:conventional-commits"
"Task","","chore/ab-id-planejar-configurar-custom-domain-para-ambiente-azure","Objetivo: detalhar escopo tecnico, dependencias e criterio de pronto para implementacao
Contexto: Configurar custom domain para ambiente Azure
Branch padrao: chore/ab-id-planejar-configurar-custom-domain-para-ambiente-azure
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","chore/ab-id-implementar-configurar-custom-domain-para-ambiente-azure","Objetivo: implementar a solucao tecnica conforme escopo aprovado da story
Contexto: Configurar custom domain para ambiente Azure
Branch padrao: chore/ab-id-implementar-configurar-custom-domain-para-ambiente-azure
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","test/ab-id-validar-e-documentar-configurar-custom-domain-para-ambiente-azure","Objetivo: validar entrega (teste/manual/CI) e atualizar documentacao necessaria
Contexto: Configurar custom domain para ambiente Azure
Branch padrao: test/ab-id-validar-e-documentar-configurar-custom-domain-para-ambiente-azure
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"User Story","chore/ab-id-configurar-variaveis-separadas-de-prod-e-test-no-azure-swa","","Objetivo: separar configuracoes por ambiente na plataforma Azure SWA
Escopo: mapear variaveis, atualizar segredos e validar runtime
Branch padrao: chore/ab-id-configurar-variaveis-separadas-de-prod-e-test-no-azure-swa
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","1) Variaveis de producao e teste separadas no Azure SWA.
2) Segredos nao sao compartilhados entre ambientes.
3) Build/deploy usa variaveis corretas por branch ambiente.
4) Tabela de variaveis por ambiente documentada.
5) Branch criada a partir de `develop` no padrao `chore/ab-id-configurar-variaveis-separadas-de-prod-e-test-no-azure-swa` (substituir `ab-id` pelo numero real).
6) Commits no padrao `tipo(escopo): descricao AB#<ID>`.
7) PR para `develop` com secoes Markdown:
- `Contexto`
- `O que foi feito`
- `Impacto`
- `Testes realizados`
- `Como validar`
- `Checklist`","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:excalidraw;phase:0-30d;area:infra;priority:alta;workflow:gitflow;workflow:conventional-commits"
"Task","","chore/ab-id-planejar-configurar-variaveis-separadas-de-prod-e-test-no-azure-swa","Objetivo: detalhar escopo tecnico, dependencias e criterio de pronto para implementacao
Contexto: Configurar variaveis separadas de prod e test no Azure SWA
Branch padrao: chore/ab-id-planejar-configurar-variaveis-separadas-de-prod-e-test-no-azure-swa
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","chore/ab-id-implementar-configurar-variaveis-separadas-de-prod-e-test-no-azure-swa","Objetivo: implementar a solucao tecnica conforme escopo aprovado da story
Contexto: Configurar variaveis separadas de prod e test no Azure SWA
Branch padrao: chore/ab-id-implementar-configurar-variaveis-separadas-de-prod-e-test-no-azure-swa
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","test/ab-id-validar-e-documentar-configurar-variaveis-separadas-de-prod-e-test-no-azure-swa","Objetivo: validar entrega (teste/manual/CI) e atualizar documentacao necessaria
Contexto: Configurar variaveis separadas de prod e test no Azure SWA
Branch padrao: test/ab-id-validar-e-documentar-configurar-variaveis-separadas-de-prod-e-test-no-azure-swa
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"User Story","chore/ab-id-configurar-waf-e-routing-rules-staticwebapp-config-json","","Objetivo: configurar regras de roteamento e seguranca de borda para reduzir risco de exposicao e melhorar governanca de acesso
Escopo: Implementacao, validacao e documentacao da entrega.
Branch padrao: chore/ab-id-configurar-waf-e-routing-rules-staticwebapp-config-json
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","1) Arquivo staticwebapp.config.json criado/atualizado com regras necessarias.
2) Rotas e rewrites validos para app e erros.
3) Regras de seguranca (headers/allow-deny) aplicadas conforme necessidade.
4) Validacao em ambiente de teste com evidencias.
5) Branch criada a partir de `develop` no padrao `chore/ab-id-configurar-waf-e-routing-rules-staticwebapp-config-json` (substituir `ab-id` pelo numero real).
6) Commits no padrao `tipo(escopo): descricao AB#<ID>`.
7) PR para `develop` com secoes Markdown:
- `Contexto`
- `O que foi feito`
- `Impacto`
- `Testes realizados`
- `Como validar`
- `Checklist`","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:excalidraw;phase:0-30d;area:infra;priority:alta;workflow:gitflow;workflow:conventional-commits"
"Task","","chore/ab-id-planejar-configurar-waf-e-routing-rules-staticwebapp-config-json","Objetivo: detalhar escopo tecnico, dependencias e criterio de pronto para implementacao
Contexto: Configurar WAF e routing rules (staticwebapp
Branch padrao: chore/ab-id-planejar-configurar-waf-e-routing-rules-staticwebapp-config-json
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","chore/ab-id-implementar-configurar-waf-e-routing-rules-staticwebapp-config-json","Objetivo: implementar a solucao tecnica conforme escopo aprovado da story
Contexto: Configurar WAF e routing rules (staticwebapp
Branch padrao: chore/ab-id-implementar-configurar-waf-e-routing-rules-staticwebapp-config-json
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","test/ab-id-validar-e-documentar-configurar-waf-e-routing-rules-staticwebapp-config-json","Objetivo: validar entrega (teste/manual/CI) e atualizar documentacao necessaria
Contexto: Configurar WAF e routing rules (staticwebapp
Branch padrao: test/ab-id-validar-e-documentar-configurar-waf-e-routing-rules-staticwebapp-config-json
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"User Story","docs/ab-id-criar-template-de-pull-request-em-github-pull-request-template-md","","Objetivo: padronizar informacoes minimas em PR para melhorar revisao
Escopo: template com contexto, checklist e testes
Branch padrao: docs/ab-id-criar-template-de-pull-request-em-github-pull-request-template-md
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","1) Arquivo .github/pull_request_template.md criado.
2) Template inclui contexto, mudancas, riscos e checklist de testes.
3) Novo PR ja aparece com template automaticamente.
4) Time validou o formato.
5) Branch criada a partir de `develop` no padrao `docs/ab-id-criar-template-de-pull-request-em-github-pull-request-template-md` (substituir `ab-id` pelo numero real).
6) Commits no padrao `tipo(escopo): descricao AB#<ID>`.
7) PR para `develop` com secoes Markdown:
- `Contexto`
- `O que foi feito`
- `Impacto`
- `Testes realizados`
- `Como validar`
- `Checklist`","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:excalidraw;phase:0-30d;area:governance;priority:alta;workflow:gitflow;workflow:conventional-commits"
"Task","","chore/ab-id-planejar-criar-template-de-pull-request-em-github-pull-request-template-md","Objetivo: detalhar escopo tecnico, dependencias e criterio de pronto para implementacao
Contexto: Criar template de Pull Request em
Branch padrao: chore/ab-id-planejar-criar-template-de-pull-request-em-github-pull-request-template-md
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","docs/ab-id-implementar-criar-template-de-pull-request-em-github-pull-request-template-md","Objetivo: implementar a solucao tecnica conforme escopo aprovado da story
Contexto: Criar template de Pull Request em
Branch padrao: docs/ab-id-implementar-criar-template-de-pull-request-em-github-pull-request-template-md
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","test/ab-id-validar-e-documentar-criar-template-de-pull-request-em-github-pull-request-template-md","Objetivo: validar entrega (teste/manual/CI) e atualizar documentacao necessaria
Contexto: Criar template de Pull Request em
Branch padrao: test/ab-id-validar-e-documentar-criar-template-de-pull-request-em-github-pull-request-template-md
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"User Story","feature/ab-id-integrar-monitoramento-de-erros-com-sentry","","Objetivo: implantar monitoramento de erros no app para frontend e backend
Escopo: configurar SDK, variaveis e validacao de eventos em ambiente de teste
Branch padrao: feature/ab-id-integrar-monitoramento-de-erros-com-sentry
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","1) Sentry configurado no projeto com DSN por ambiente.
2) Erros de cliente e servidor chegam no Sentry.
3) Variaveis documentadas em docs/deployment/environment-variables.md.
4) Evidencia de teste anexada no work item.
5) Branch criada a partir de `develop` no padrao `feature/ab-id-integrar-monitoramento-de-erros-com-sentry` (substituir `ab-id` pelo numero real).
6) Commits no padrao `tipo(escopo): descricao AB#<ID>`.
7) PR para `develop` com secoes Markdown:
- `Contexto`
- `O que foi feito`
- `Impacto`
- `Testes realizados`
- `Como validar`
- `Checklist`","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:excalidraw;phase:0-30d;area:observability;priority:alta;workflow:gitflow;workflow:conventional-commits"
"Task","","chore/ab-id-planejar-integrar-monitoramento-de-erros-com-sentry","Objetivo: detalhar escopo tecnico, dependencias e criterio de pronto para implementacao
Contexto: Integrar monitoramento de erros com Sentry
Branch padrao: chore/ab-id-planejar-integrar-monitoramento-de-erros-com-sentry
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","feature/ab-id-implementar-integrar-monitoramento-de-erros-com-sentry","Objetivo: implementar a solucao tecnica conforme escopo aprovado da story
Contexto: Integrar monitoramento de erros com Sentry
Branch padrao: feature/ab-id-implementar-integrar-monitoramento-de-erros-com-sentry
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","test/ab-id-validar-e-documentar-integrar-monitoramento-de-erros-com-sentry","Objetivo: validar entrega (teste/manual/CI) e atualizar documentacao necessaria
Contexto: Integrar monitoramento de erros com Sentry
Branch padrao: test/ab-id-validar-e-documentar-integrar-monitoramento-de-erros-com-sentry
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"User Story","test/ab-id-separar-ambiente-de-producao-do-ambiente-de-teste","","Objetivo: garantir isolamento completo entre configuracoes de test e prod
Escopo: variaveis, segredos e validacao de deploy
Branch padrao: test/ab-id-separar-ambiente-de-producao-do-ambiente-de-teste
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","1) Variaveis de test e prod separadas em cada ambiente.
2) Segredos diferentes por ambiente.
3) Build de test nao usa valores de producao.
4) Checklist de validacao de ambiente documentado.
5) Branch criada a partir de `develop` no padrao `test/ab-id-separar-ambiente-de-producao-do-ambiente-de-teste` (substituir `ab-id` pelo numero real).
6) Commits no padrao `tipo(escopo): descricao AB#<ID>`.
7) PR para `develop` com secoes Markdown:
- `Contexto`
- `O que foi feito`
- `Impacto`
- `Testes realizados`
- `Como validar`
- `Checklist`","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:excalidraw;phase:0-30d;area:infra;priority:alta;workflow:gitflow;workflow:conventional-commits"
"Task","","chore/ab-id-planejar-separar-ambiente-de-producao-do-ambiente-de-teste","Objetivo: detalhar escopo tecnico, dependencias e criterio de pronto para implementacao
Contexto: Separar ambiente de producao do ambiente de teste
Branch padrao: chore/ab-id-planejar-separar-ambiente-de-producao-do-ambiente-de-teste
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","test/ab-id-implementar-separar-ambiente-de-producao-do-ambiente-de-teste","Objetivo: implementar a solucao tecnica conforme escopo aprovado da story
Contexto: Separar ambiente de producao do ambiente de teste
Branch padrao: test/ab-id-implementar-separar-ambiente-de-producao-do-ambiente-de-teste
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","test/ab-id-validar-e-documentar-separar-ambiente-de-producao-do-ambiente-de-teste","Objetivo: validar entrega (teste/manual/CI) e atualizar documentacao necessaria
Contexto: Separar ambiente de producao do ambiente de teste
Branch padrao: test/ab-id-validar-e-documentar-separar-ambiente-de-producao-do-ambiente-de-teste
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","1","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"User Story","feature/ab-id-criar-ou-validar-arquivo-public-og-image-jpg","","Objetivo: garantir imagem Open Graph padrao para compartilhamento social
Escopo: gerar asset e referenciar no metadata
Branch padrao: feature/ab-id-criar-ou-validar-arquivo-public-og-image-jpg
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","1) Arquivo /public/og-image.jpg existe no tamanho recomendado.
2) Metadata aponta para a imagem correta em todos os ambientes.
3) Compartilhamento em rede social exibe preview valido.
4) Asset otimizado e versionado.
5) Branch criada a partir de `develop` no padrao `feature/ab-id-criar-ou-validar-arquivo-public-og-image-jpg` (substituir `ab-id` pelo numero real).
6) Commits no padrao `tipo(escopo): descricao AB#<ID>`.
7) PR para `develop` com secoes Markdown:
- `Contexto`
- `O que foi feito`
- `Impacto`
- `Testes realizados`
- `Como validar`
- `Checklist`","New","mandure-servicos","mandure-servicos\Iteration 1","2","source:excalidraw;phase:0-30d;area:seo;priority:media;workflow:gitflow;workflow:conventional-commits"
"Task","","chore/ab-id-planejar-criar-ou-validar-arquivo-public-og-image-jpg","Objetivo: detalhar escopo tecnico, dependencias e criterio de pronto para implementacao
Contexto: Criar ou validar arquivo /public/og-image
Branch padrao: chore/ab-id-planejar-criar-ou-validar-arquivo-public-og-image-jpg
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","2","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","feature/ab-id-implementar-criar-ou-validar-arquivo-public-og-image-jpg","Objetivo: implementar a solucao tecnica conforme escopo aprovado da story
Contexto: Criar ou validar arquivo /public/og-image
Branch padrao: feature/ab-id-implementar-criar-ou-validar-arquivo-public-og-image-jpg
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","2","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
"Task","","test/ab-id-validar-e-documentar-criar-ou-validar-arquivo-public-og-image-jpg","Objetivo: validar entrega (teste/manual/CI) e atualizar documentacao necessaria
Contexto: Criar ou validar arquivo /public/og-image
Branch padrao: test/ab-id-validar-e-documentar-criar-ou-validar-arquivo-public-og-image-jpg
PR alvo: develop (AB#<ID>)
Commits: tipo(escopo): descricao AB#<ID>","","New","mandure-servicos","mandure-servicos\Iteration 1","2","source:generated;kind:subtask;phase:0-30d;workflow:gitflow;workflow:conventional-commits"
